REG_DATE,PM25,PM100,Temperature,Humidity,TVOC,CO2,weekday
2020-04-05 03:36:00,3.77,6.19,19.1,15.1,1.57,2.24,Sunday
2020-04-05 03:37:00,3.77,6.19,19.1,15.1,1.55,2.25,Sunday
2020-04-05 03:38:00,4.06,6.19,19.1,15.1,1.55,2.24,Sunday
2020-04-05 03:39:00,2.9,6.19,19.1,15.1,1.57,2.25,Sunday
2020-04-05 03:40:00,3.48,6.19,19.1,15.1,1.55,2.27,Sunday
2020-04-05 03:41:00,3.48,6.19,19.1,15.1,1.54,2.24,Sunday
2020-04-05 03:42:00,3.77,6.19,19.1,15.1,1.57,2.22,Sunday
2020-04-05 03:43:00,4.06,6.19,19.0,15.1,1.56,2.25,Sunday
2020-04-05 03:44:00,3.48,6.19,19.0,15.1,1.53,2.22,Sunday
2020-04-05 03:45:00,4.35,6.19,19.0,15.1,1.56,2.18,Sunday
2020-04-05 03:46:00,3.48,6.19,19.0,15.1,1.55,2.22,Sunday
2020-04-05 03:47:00,3.77,6.19,19.0,15.1,1.55,2.24,Sunday
2020-04-05 03:48:00,4.35,6.19,19.0,15.1,1.54,2.25,Sunday
2020-04-05 03:49:00,3.77,6.19,19.0,15.2,1.55,2.19,Sunday
2020-04-05 03:50:00,4.64,6.19,19.0,15.1,1.53,2.27,Sunday
2020-04-05 03:51:00,4.06,6.19,19.0,15.1,1.55,2.29,Sunday
2020-04-05 03:52:00,5.51,6.19,19.0,15.1,1.53,2.24,Sunday
2020-04-05 03:53:00,4.35,6.19,19.1,15.2,1.56,2.25,Sunday
2020-04-05 03:54:00,4.35,6.19,19.0,15.1,1.56,2.22,Sunday
2020-04-05 03:55:00,3.77,6.19,19.0,15.1,1.55,2.23,Sunday
2020-04-05 03:56:00,4.35,6.19,19.1,15.1,1.55,2.27,Sunday
2020-04-05 03:57:00,4.64,6.19,19.1,15.1,1.56,2.27,Sunday
2020-04-05 03:58:00,4.64,6.19,19.0,15.1,1.56,2.23,Sunday
2020-04-05 03:59:00,4.06,6.19,19.1,15.1,1.54,2.24,Sunday
2020-04-05 04:00:00,5.8,6.19,19.1,15.1,1.54,2.25,Sunday
2020-04-05 04:01:00,5.51,6.19,19.1,15.1,1.56,2.31,Sunday
2020-04-05 04:02:00,4.06,6.19,19.1,15.1,1.54,2.26,Sunday
2020-04-05 04:03:00,4.93,6.19,19.1,15.2,1.54,2.24,Sunday
2020-04-05 04:04:00,4.06,6.19,19.0,15.2,1.55,2.27,Sunday
2020-04-05 04:05:00,3.77,6.19,19.0,15.2,1.56,2.28,Sunday
2020-04-05 04:06:00,4.35,6.19,19.0,15.2,1.57,2.26,Sunday
2020-04-05 04:07:00,4.64,6.19,19.0,15.3,1.55,2.21,Sunday
2020-04-05 04:08:00,5.22,6.19,19.0,15.3,1.56,2.26,Sunday
2020-04-05 04:09:00,4.64,6.19,19.0,15.3,1.56,2.25,Sunday
2020-04-05 04:10:00,4.64,6.19,19.0,15.3,1.57,2.29,Sunday
2020-04-05 04:11:00,3.77,6.19,19.0,15.3,1.55,2.26,Sunday
2020-04-05 04:12:00,4.35,6.19,19.0,15.3,1.56,2.25,Sunday
2020-04-05 04:13:00,4.64,6.19,19.0,15.2,1.55,2.23,Sunday
2020-04-05 04:14:00,4.93,6.19,19.0,15.2,1.56,2.23,Sunday
2020-04-05 04:15:00,4.35,6.19,19.0,15.2,1.56,2.23,Sunday
2020-04-05 04:16:00,3.77,6.19,19.0,15.2,1.54,2.27,Sunday
2020-04-05 04:17:00,4.64,6.19,19.0,15.2,1.56,2.27,Sunday
2020-04-05 04:18:00,4.35,6.19,19.0,15.2,1.56,2.28,Sunday
2020-04-05 04:19:00,4.64,6.19,19.0,15.2,1.55,2.28,Sunday
2020-04-05 04:20:00,4.93,6.19,19.0,15.2,1.56,2.25,Sunday
2020-04-05 04:21:00,4.06,6.19,19.0,15.2,1.53,2.24,Sunday
2020-04-05 04:22:00,3.19,6.19,19.0,15.2,1.58,2.26,Sunday
2020-04-05 04:23:00,4.35,6.19,19.0,15.2,1.56,2.24,Sunday
2020-04-05 04:24:00,3.77,6.19,19.0,15.2,1.55,2.26,Sunday
2020-04-05 04:25:00,4.06,6.19,19.0,15.1,1.53,2.29,Sunday
2020-04-05 04:26:00,4.64,6.19,19.0,15.1,1.54,2.28,Sunday
2020-04-05 04:27:00,3.77,6.19,19.0,15.1,1.54,2.25,Sunday
2020-04-05 04:28:00,4.64,6.19,19.0,15.1,1.54,2.17,Sunday
2020-04-05 04:29:00,4.35,6.19,19.0,15.1,1.55,2.23,Sunday
2020-04-05 04:30:00,4.93,6.19,19.0,15.1,1.54,2.22,Sunday
2020-04-05 04:31:00,4.93,6.19,19.0,15.2,1.55,2.27,Sunday
2020-04-05 04:32:00,3.77,6.19,19.0,15.1,1.56,2.23,Sunday
2020-04-05 04:33:00,4.64,6.19,19.0,15.2,1.53,2.23,Sunday
2020-04-05 04:34:00,4.93,6.19,19.0,15.1,1.54,2.21,Sunday
2020-04-05 04:35:00,4.06,6.19,19.0,15.1,1.53,2.23,Sunday
2020-04-05 04:36:00,4.35,6.19,19.0,15.1,1.53,2.22,Sunday
2020-04-05 04:37:00,4.93,6.19,19.0,15.1,1.55,2.21,Sunday
2020-04-05 04:38:00,4.93,6.19,19.0,15.1,1.51,2.22,Sunday
2020-04-05 04:39:00,5.8,6.19,19.0,15.1,1.52,2.25,Sunday
2020-04-05 04:40:00,6.38,6.19,19.0,15.1,1.51,2.27,Sunday
2020-04-05 04:41:00,4.35,6.19,18.9,15.1,1.52,2.2,Sunday
2020-04-05 04:42:00,4.35,6.19,18.9,15.2,1.54,2.19,Sunday
2020-04-05 04:43:00,4.35,6.19,18.9,15.1,1.55,2.25,Sunday
2020-04-05 04:44:00,4.64,6.19,18.9,15.2,1.54,2.25,Sunday
2020-04-05 04:45:00,4.93,6.19,18.9,15.2,1.54,2.24,Sunday
2020-04-05 04:46:00,4.35,6.19,18.9,15.2,1.54,2.27,Sunday
2020-04-05 04:47:00,4.35,6.19,18.9,15.2,1.54,2.23,Sunday
2020-04-05 04:48:00,4.35,6.19,18.9,15.2,1.54,2.21,Sunday
2020-04-05 04:49:00,5.22,6.19,18.9,15.2,1.53,2.23,Sunday
2020-04-05 04:50:00,4.64,6.19,18.9,15.2,1.55,2.26,Sunday
2020-04-05 04:51:00,4.35,6.19,18.9,15.2,1.55,2.22,Sunday
2020-04-05 04:52:00,4.06,6.19,18.9,15.2,1.57,2.22,Sunday
2020-04-05 04:53:00,4.93,6.19,18.9,15.2,1.54,2.26,Sunday
2020-04-05 04:54:00,4.93,6.19,18.9,15.2,1.55,2.25,Sunday
2020-04-05 04:55:00,4.93,6.19,18.9,15.2,1.55,2.24,Sunday
2020-04-05 04:56:00,4.64,6.19,18.9,15.2,1.53,2.21,Sunday
2020-04-05 04:57:00,4.93,6.19,18.9,15.3,1.54,2.22,Sunday
2020-04-05 04:58:00,5.22,6.19,18.9,15.2,1.55,2.23,Sunday
2020-04-05 04:59:00,5.22,6.19,18.9,15.2,1.52,2.23,Sunday
2020-04-05 05:00:00,5.22,6.19,18.9,15.2,1.53,2.22,Sunday
2020-04-05 05:01:00,4.93,6.19,18.9,15.3,1.57,2.23,Sunday
2020-04-05 05:02:00,4.93,6.19,18.9,15.3,1.55,2.24,Sunday
2020-04-05 05:03:00,5.22,6.19,18.9,15.3,1.56,2.25,Sunday
2020-04-05 05:04:00,5.22,6.19,18.9,15.2,1.56,2.23,Sunday
2020-04-05 05:05:00,4.93,6.19,18.9,15.3,1.55,2.23,Sunday
2020-04-05 05:06:00,5.22,6.19,18.9,15.2,1.53,2.24,Sunday
2020-04-05 05:07:00,5.8,6.19,18.9,15.3,1.55,2.23,Sunday
2020-04-05 05:08:00,5.51,6.19,18.9,15.3,1.55,2.21,Sunday
2020-04-05 05:09:00,5.51,6.19,18.9,15.3,1.55,2.24,Sunday
2020-04-05 05:10:00,5.22,6.19,18.9,15.2,1.54,2.2,Sunday
2020-04-05 05:11:00,4.93,6.19,18.9,15.2,1.54,2.25,Sunday
2020-04-05 05:12:00,5.51,6.19,18.9,15.2,1.53,2.23,Sunday
2020-04-05 05:13:00,5.22,6.19,18.9,15.3,1.54,2.26,Sunday
2020-04-05 05:14:00,5.51,6.19,18.9,15.3,1.55,2.26,Sunday
2020-04-05 05:15:00,5.8,6.19,18.9,15.2,1.56,2.24,Sunday
2020-04-05 05:16:00,5.22,6.19,18.9,15.2,1.56,2.24,Sunday
2020-04-05 05:17:00,5.8,6.19,18.9,15.2,1.55,2.2,Sunday
2020-04-05 05:18:00,5.8,6.19,18.9,15.2,1.54,2.22,Sunday
2020-04-05 05:19:00,5.51,6.19,18.9,15.2,1.53,2.21,Sunday
2020-04-05 05:20:00,5.51,6.19,18.9,15.2,1.55,2.27,Sunday
2020-04-05 05:21:00,6.38,6.19,18.9,15.1,1.52,2.27,Sunday
2020-04-05 05:22:00,5.22,6.19,18.9,15.2,1.55,2.2,Sunday
2020-04-05 05:23:00,5.8,6.19,18.9,15.2,1.53,2.22,Sunday
2020-04-05 05:24:00,5.51,6.19,18.9,15.1,1.54,2.25,Sunday
2020-04-05 05:25:00,6.09,6.19,18.9,15.1,1.54,2.2,Sunday
2020-04-05 05:26:00,5.22,6.19,18.9,15.1,1.53,2.24,Sunday
2020-04-05 05:27:00,6.09,6.19,18.9,15.1,1.55,2.2,Sunday
